['statefp', 'state_name', 'countyfp', 'county_name'],
['1', 'Alabama', '1', 'Autauga County'],
['1', 'Alabama', '3', 'Baldwin County'],
['1', 'Alabama', '5', 'Barbour County'],
['1', 'Alabama', '7', 'Bibb County'],
['1', 'Alabama', '9', 'Blount County'],
['1', 'Alabama', '11', 'Bullock County'],
['1', 'Alabama', '13', 'Butler County'],
['1', 'Alabama', '15', 'Calhoun County'],
['1', 'Alabama', '17', 'Chambers County'],
['1', 'Alabama', '19', 'Cherokee County'],
['1', 'Alabama', '21', 'Chilton County'],
['1', 'Alabama', '23', 'Choctaw County'],
['1', 'Alabama', '25', 'Clarke County'],
['1', 'Alabama', '27', 'Clay County'],
['1', 'Alabama', '29', 'Cleburne County'],
['1', 'Alabama', '31', 'Coffee County'],
['1', 'Alabama', '33', 'Colbert County'],
['1', 'Alabama', '35', 'Conecuh County'],
['1', 'Alabama', '37', 'Coosa County'],
['1', 'Alabama', '39', 'Covington County'],
['1', 'Alabama', '41', 'Crenshaw County'],
['1', 'Alabama', '43', 'Cullman County'],
['1', 'Alabama', '45', 'Dale County'],
['1', 'Alabama', '47', 'Dallas County'],
['1', 'Alabama', '49', 'DeKalb County'],
['1', 'Alabama', '51', 'Elmore County'],
['1', 'Alabama', '53', 'Escambia County'],
['1', 'Alabama', '55', 'Etowah County'],
['1', 'Alabama', '57', 'Fayette County'],
['1', 'Alabama', '59', 'Franklin County'],
['1', 'Alabama', '61', 'Geneva County'],
['1', 'Alabama', '63', 'Greene County'],
['1', 'Alabama', '65', 'Hale County'],
['1', 'Alabama', '67', 'Henry County'],
['1', 'Alabama', '69', 'Houston County'],
['1', 'Alabama', '71', 'Jackson County'],
['1', 'Alabama', '73', 'Jefferson County'],
['1', 'Alabama', '75', 'Lamar County'],
['1', 'Alabama', '77', 'Lauderdale County'],
['1', 'Alabama', '79', 'Lawrence County'],
['1', 'Alabama', '81', 'Lee County'],
['1', 'Alabama', '83', 'Limestone County'],
['1', 'Alabama', '85', 'Lowndes County'],
['1', 'Alabama', '87', 'Macon County'],
['1', 'Alabama', '89', 'Madison County'],
['1', 'Alabama', '91', 'Marengo County'],
['1', 'Alabama', '93', 'Marion County'],
['1', 'Alabama', '95', 'Marshall County'],
['1', 'Alabama', '97', 'Mobile County'],
['1', 'Alabama', '99', 'Monroe County'],
['1', 'Alabama', '101', 'Montgomery County'],
['1', 'Alabama', '103', 'Morgan County'],
['1', 'Alabama', '105', 'Perry County'],
['1', 'Alabama', '107', 'Pickens County'],
['1', 'Alabama', '109', 'Pike County'],
['1', 'Alabama', '111', 'Randolph County'],
['1', 'Alabama', '113', 'Russell County'],
['1', 'Alabama', '115', 'St. Clair County'],
['1', 'Alabama', '117', 'Shelby County'],
['1', 'Alabama', '119', 'Sumter County'],
['1', 'Alabama', '121', 'Talladega County'],
['1', 'Alabama', '123', 'Tallapoosa County'],
['1', 'Alabama', '125', 'Tuscaloosa County'],
['1', 'Alabama', '127', 'Walker County'],
['1', 'Alabama', '129', 'Washington County'],
['1', 'Alabama', '131', 'Wilcox County'],
['1', 'Alabama', '133', 'Winston County'],
['2', 'Alaska', '13', 'Aleutians East Borough'],
['2', 'Alaska', '16', 'Aleutians West Census Area'],
['2', 'Alaska', '20', 'Anchorage Municipality'],
['2', 'Alaska', '50', 'Bethel Census Area'],
['2', 'Alaska', '60', 'Bristol Bay Borough'],
['2', 'Alaska', '68', 'Denali Borough'],
['2', 'Alaska', '70', 'Dillingham Census Area'],
['2', 'Alaska', '90', 'Fairbanks North Star Borough'],
['2', 'Alaska', '100', 'Haines Borough'],
['2', 'Alaska', '105', 'Hoonah-Angoon Census Area'],
['2', 'Alaska', '110', 'Juneau City and Borough'],
['2', 'Alaska', '122', 'Kenai Peninsula Borough'],
['2', 'Alaska', '130', 'Ketchikan Gateway Borough'],
['2', 'Alaska', '150', 'Kodiak Island Borough'],
['2', 'Alaska', '158', 'Kusilvak Census Area'],
['2', 'Alaska', '158', 'Wade Hampton Census Area'],
['2', 'Alaska', '164', 'Lake and Peninsula Borough'],
['2', 'Alaska', '170', 'Matanuska-Susitna Borough'],
['2', 'Alaska', '180', 'Nome Census Area'],
['2', 'Alaska', '185', 'North Slope Borough'],
['2', 'Alaska', '188', 'Northwest Arctic Borough'],
['2', 'Alaska', '195', 'Petersburg Census Area'],
['2', 'Alaska', '195', 'Petersburg Borough'],
['2', 'Alaska', '198', 'Prince of Wales-Hyder Census Area'],
['2', 'Alaska', '220', 'Sitka City and Borough'],
['2', 'Alaska', '230', 'Skagway Municipality'],
['2', 'Alaska', '240', 'Southeast Fairbanks Census Area'],
['2', 'Alaska', '261', 'Valdez-Cordova Census Area'],
['2', 'Alaska', '275', 'Wrangell City and Borough'],
['2', 'Alaska', '282', 'Yakutat City and Borough'],
['2', 'Alaska', '290', 'Yukon-Koyukuk Census Area'],
['4', 'Arizona', '1', 'Apache County'],
['4', 'Arizona', '3', 'Cochise County'],
['4', 'Arizona', '5', 'Coconino County'],
['4', 'Arizona', '7', 'Gila County'],
['4', 'Arizona', '9', 'Graham County'],
['4', 'Arizona', '11', 'Greenlee County'],
['4', 'Arizona', '12', 'La Paz County'],
['4', 'Arizona', '13', 'Maricopa County'],
['4', 'Arizona', '15', 'Mohave County'],
['4', 'Arizona', '17', 'Navajo County'],
['4', 'Arizona', '19', 'Pima County'],
['4', 'Arizona', '21', 'Pinal County'],
['4', 'Arizona', '23', 'Santa Cruz County'],
['4', 'Arizona', '25', 'Yavapai County'],
['4', 'Arizona', '27', 'Yuma County'],
['5', 'Arkansas', '1', 'Arkansas County'],
['5', 'Arkansas', '3', 'Ashley County'],
['5', 'Arkansas', '5', 'Baxter County'],
['5', 'Arkansas', '7', 'Benton County'],
['5', 'Arkansas', '9', 'Boone County'],
['5', 'Arkansas', '11', 'Bradley County'],
['5', 'Arkansas', '13', 'Calhoun County'],
['5', 'Arkansas', '15', 'Carroll County'],
['5', 'Arkansas', '17', 'Chicot County'],
['5', 'Arkansas', '19', 'Clark County'],
['5', 'Arkansas', '21', 'Clay County'],
